"","grav_moist_percent","yvar","SE","df","LCL","UCL","tvar","xvar"
"70",345,2.62822526810364e-08,2.07145382068643e-07,Inf,2.22044604925031e-16,0.118492843343168,"1",345
"71",350,1.97608087434125e-08,1.58180239006967e-07,Inf,2.22044604925031e-16,0.113996557749132,"1",350
"72",355,1.48575377575456e-08,1.20760996441434e-07,Inf,2.22044604925031e-16,0.10965087557277,"1",355
"73",360,1.1170920725697e-08,9.21725710048921e-08,Inf,2.22044604925031e-16,0.105452257150344,"1",360
"74",365,8.3990679870409e-09,7.03364099781013e-08,Inf,2.22044604925031e-16,0.101397130698141,"1",365
"75",370,6.31499808607003e-09,5.3661768165556e-08,Inf,2.22044604925031e-16,0.0974819031645549,"1",370
"76",375,4.74805072038662e-09,4.09316004523805e-08,Inf,2.22044604925031e-16,0.0937029703707619,"1",375
"77",380,3.56991171293103e-09,3.1215048158087e-08,Inf,2.22044604925031e-16,0.0900567264464309,"1",380
"78",385,2.68410562247721e-09,2.38003470551737e-08,Inf,2.22044604925031e-16,0.0865395725714113,"1",385
"79",390,2.01809556380182e-09,1.81434105965172e-08,Inf,2.22044604925031e-16,0.0831479250382224,"1",390
"80",395,1.51734330790035e-09,1.38284400647261e-08,Inf,2.22044604925031e-16,0.0798782226534384,"1",395
"81",400,1.14084325590937e-09,1.05377587736188e-08,Inf,2.22044604925031e-16,0.0767269334988127,"1",400
"82",405,8.57764572892415e-10,8.02871793695321e-09,Inf,2.22044604925031e-16,0.0736905610751726,"1",405
"83",410,6.44926512600666e-10,6.11602205979236e-09,Inf,2.22044604925031e-16,0.0707656498539179,"1",410
"84",415,4.84900192637663e-10,4.65820621550517e-09,Inf,2.22044604925031e-16,0.0679487902622639,"1",415
"85",420,3.6458137821401e-10,3.5472929815392e-09,Inf,2.22044604925031e-16,0.0652366231293414,"1",420
"86",425,2.74117402621411e-10,2.70088366223553e-09,Inf,2.22044604925031e-16,0.0626258436208974,"1",425
"87",430,2.06100352097838e-10,2.05611256059336e-09,Inf,2.22044604925031e-16,0.0601132046906524,"1",430
"88",435,1.54960446611272e-10,1.56502666974026e-09,Inf,2.22044604925031e-16,0.0576955200764326,"1",435
"89",440,1.16509941731012e-10,1.19105562879209e-09,Inf,2.22044604925031e-16,0.0553696668690364,"1",440
"90",445,8.76002026251708e-11,9.06315351845906e-10,Inf,2.22044604925031e-16,0.0531325876814188,"1",445
