"","grav_moist_percent","yvar","SE","df","LCL","UCL","tvar","xvar"
"54",265,0.000531826315588792,0.00142172688210054,Inf,2.81370641247366e-06,0.0914283508646513,"1",265
"55",270,0.000442808362875817,0.00121031250548392,Inf,2.08361454582561e-06,0.0860807191418602,"1",270
"56",275,0.000368684883390671,0.00102982634370682,Inf,1.5428561438824e-06,0.0810232015187737,"1",275
"57",280,0.00030696542191243,0.000875842190257739,Inf,1.14236497061467e-06,0.0762426714957705,"1",280
"58",285,0.000255575426534513,0.000744547735234321,Inf,8.45780142737274e-07,0.0717262958343849,"1",285
"59",290,0.00021278695207106,0.000632663463522817,Inf,6.26159371769344e-07,0.0674615654813764,"1",290
"60",295,0.000177160860678712,0.000537371385531131,Inf,4.63541453919647e-07,0.0634363209925451,"1",295
"61",300,0.00014749862716266,0.000456252615132684,Inf,3.43138894394066e-07,0.0596387728732887,"1",300
"62",305,0.000122802163328442,0.000387232854250695,Inf,2.53997983552939e-07,0.0560575172659149,"1",305
"63",310,0.000102240334307445,0.000328534903554672,Inf,1.88005573101466e-07,0.0526815474159048,"1",310
"64",315,8.51210571811351e-05,0.000278637386974323,Inf,1.39152946091071e-07,0.0495002613429042,"1",315
"65",320,7.08680546998841e-05,0.00023623894920881,Inf,1.02990301745895e-07,0.0465034661291426,"1",320
"66",325,5.90014898334593e-05,0.000200227256736724,Inf,7.62225444327567e-08,0.0436813792199124,"1",325
"67",330,4.91218349326908e-05,0.000169652201776197,Inf,5.64098075549314e-08,0.0410246271090993,"1",330
"68",335,4.08964363769065e-05,0.000143702773797367,Inf,4.17455970178102e-08,0.038524241758721,"1",335
"69",340,3.40483250858861e-05,0.000121687123738202,Inf,3.08924519677803e-08,0.0361716550759785,"1",340
"70",345,2.83468980290053e-05,0.000103015401626551,Inf,2.28602219031141e-08,0.033958691745249,"1",345
"71",350,2.36001582650732e-05,8.71849987643447e-05,Inf,1.69159163055752e-08,0.0318775606863728,"1",350
"72",355,1.96482531121635e-05,7.37678710783703e-05,Inf,1.25169426321609e-08,0.029920845385016,"1",355
"73",360,1.63580934731076e-05,6.23996609075264e-05,Inf,9.26166841465275e-09,0.0280814933161792,"1",360
"74",365,1.36188735516656e-05,5.27703706781074e-05,Inf,6.85281449722993e-09,0.0263528046583614,"1",365
"75",370,1.13383403783893e-05,4.46163739576937e-05,Inf,5.07035093112688e-09,0.0247284204736586,"1",370
"76",375,9.43968772113282e-06,3.77135776332913e-05,Inf,3.75142995261221e-09,0.0232023105082979,"1",375
"77",380,7.85896991691696e-06,3.187157378928e-05,Inf,2.77552982923445e-09,0.0217687607488514,"1",380
"78",385,6.54294862614142e-06,2.69286416133014e-05,Inf,2.05345703367936e-09,0.0204223608516611,"1",385
"79",390,5.44730005873358e-06,2.27474786628705e-05,Inf,1.51920509641989e-09,0.0191579915468199,"1",390
"80",395,4.53512234027335e-06,1.92115573891475e-05,Inf,1.12392840098776e-09,0.0179708121033556,"1",395
"81",400,3.77569277951195e-06,1.62220172191868e-05,Inf,8.31481691982142e-10,0.0168562479290042,"1",400
"82",405,3.14343320481819e-06,1.36950150009728e-05,Inf,6.15118635918536e-10,0.0158099783660506,"1",405
"83",410,2.61704853758149e-06,1.15594674485747e-05,Inf,4.55048354411298e-10,0.0148279247340892,"1",410
"84",415,2.17880960023304e-06,9.75512859573316e-06,Inf,3.36627029964797e-10,0.0139062386611176,"1",415
"85",420,1.81395601094868e-06,8.23095336048806e-06,Inf,2.49019573175573e-10,0.0130412907360428,"1",420
"86",425,1.51019905927971e-06,6.94370530554835e-06,Inf,1.84209200754219e-10,0.0122296595083534,"1",425
"87",430,1.25730782272205e-06,5.85677269425843e-06,Inf,1.36264505888313e-10,0.0114681208543108,"1",430
"88",435,1.04676458670764e-06,4.93916211815715e-06,Inf,1.00797094249735e-10,0.0107536377234514,"1",435
"89",440,8.7147796390998e-07,4.16464342147169e-06,Inf,7.45602493894302e-11,0.0100833502743868,"1",440
"90",445,7.25544051577807e-07,3.51102346865763e-06,Inf,5.51519643890184e-11,0.00945456640476495,"1",445
"91",450,6.04047583204388e-07,2.959529579004e-06,Inf,4.07952054230031e-11,0.00886475267674408,"1",450
"92",455,5.02896377632939e-07,2.49428626202403e-06,Inf,3.01753258554583e-11,0.0083115256363574,"1",455
"93",460,4.18683510015746e-07,2.10187129373061e-06,Inf,2.23197697131502e-11,0.00779264352266101,"1",460
"94",465,3.48572562626493e-07,1.77093923323873e-06,Inf,1.65090669422301e-11,0.0073059983604919,"1",465
"95",470,2.90202090798678e-07,1.49190224019523e-06,Inf,1.22109822343826e-11,0.00684960842897537,"1",470
"96",475,2.41606086394661e-07,1.25665955846409e-06,Inf,9.03179532586400e-12,0.00642161109655996,"1",475
"97",480,2.01147759987762e-07,1.05836831669709e-06,Inf,6.68025667844449e-12,0.00602025601228381,"1",480
"98",485,1.67464411504453e-07,8.91249393287295e-07,Inf,4.94092131650626e-12,0.00564389864214921,"1",485
"99",490,1.39421532529399e-07,7.50423028777572e-07,Inf,3.65442114435888e-12,0.0052909941388716,"1",490
"100",495,1.16074594398512e-07,6.31769666343284e-07,Inf,2.70287062852908e-12,0.00496009153284094,"1",495
"101",500,9.66372350645549e-08,5.31812180483387e-07,Inf,1.99907027235334e-12,0.00464982823186484,"1",500
